id,name,gender,gender_probability,age,age_group,country_id,country_name,country_probability,created_at
019de9e4-8e25-7612-bff7-f688857ccbcb,Awino Hassan,female,0.66,68,senior,TZ,Tanzania,0.6,2026-05-02 18:12:43.173654+00:00
019de9e4-8e26-7c74-b215-1646420d8173,Mercy Agyei,female,0.79,9,child,NG,Nigeria,0.11,2026-05-02 18:12:43.173676+00:00
019de9e4-8e27-7627-9165-56550ffd7711,Hassan Girma,male,0.85,37,adult,UG,Uganda,0.38,2026-05-02 18:12:43.173685+00:00
019de9e4-8e28-76e3-9043-1cb3f58e4092,Nabil Saidi,male,0.8,80,senior,SD,Sudan,0.49,2026-05-02 18:12:43.173762+00:00
019de9e4-8e29-7aaf-b018-82cba9f5d146,Kimberly Scott,female,0.9,5,child,US,United States,0.34,2026-05-02 18:12:43.173777+00:00
019de9e4-8e2a-7e03-be49-e259e41426b4,Nandi Girma,female,0.8,57,adult,MG,Madagascar,0.4,2026-05-02 18:12:43.173785+00:00
019de9e4-8e2b-7ef7-9e2c-bc68bcbda9e4,John Adams,male,0.98,37,adult,GB,United Kingdom,0.52,2026-05-02 18:12:43.173793+00:00
019de9e4-8e2c-74ae-95cc-8a12c5de378f,Elizabeth Harris,female,0.77,32,adult,IN,India,0.11,2026-05-02 18:12:43.173800+00:00
019de9e4-8e2d-780f-85c3-7356fafe01a2,Anne Kasavubu,female,0.88,43,adult,CM,Cameroon,0.29,2026-05-02 18:12:43.173807+00:00
019de9e4-8e2e-704f-b733-27e1a4640622,Yaa Adomou,female,0.78,50,adult,CV,Cape Verde,0.28,2026-05-02 18:12:43.173813+00:00
