id,name,gender,gender_probability,age,age_group,country_id,country_name,country_probability,created_at
019ddc4b-5067-7374-9994-d430b91f4019,Awino Hassan,female,0.66,68,senior,TZ,Tanzania,0.6,2026-04-30 02:50:16.551970+00:00
019ddc4b-5068-7bf9-9beb-20e38297d683,Mercy Agyei,female,0.79,9,child,NG,Nigeria,0.11,2026-04-30 02:50:16.551984+00:00
019ddc4b-5069-73e0-95c1-807c70343fa8,Hassan Girma,male,0.85,37,adult,UG,Uganda,0.38,2026-04-30 02:50:16.551991+00:00
019ddc4b-506a-7a10-a9ab-203feb1f0b9a,Nabil Saidi,male,0.8,80,senior,SD,Sudan,0.49,2026-04-30 02:50:16.551997+00:00
019ddc4b-506b-77b5-bc00-624f005c7689,Kimberly Scott,female,0.9,5,child,US,United States,0.34,2026-04-30 02:50:16.552002+00:00
019ddc4b-506c-7163-af3e-6664682ca81a,Nandi Girma,female,0.8,57,adult,MG,Madagascar,0.4,2026-04-30 02:50:16.552008+00:00
019ddc4b-506d-7b4b-91e7-8ade4613a586,John Adams,male,0.98,37,adult,GB,United Kingdom,0.52,2026-04-30 02:50:16.552013+00:00
019ddc4b-506e-7e63-9439-468f7ad5d1a6,Elizabeth Harris,female,0.77,32,adult,IN,India,0.11,2026-04-30 02:50:16.552019+00:00
019ddc4b-506f-7c8f-be3e-cfb893b714c4,Anne Kasavubu,female,0.88,43,adult,CM,Cameroon,0.29,2026-04-30 02:50:16.552024+00:00
019ddc4b-5070-791e-a981-ca95f4c340bb,Yaa Adomou,female,0.78,50,adult,CV,Cape Verde,0.28,2026-04-30 02:50:16.552029+00:00
