id,name,gender,gender_probability,age,age_group,country_id,country_name,country_probability,created_at
019de3eb-c7a4-7ff2-8bc0-f00fa53f6a4f,Awino Hassan,female,0.66,68,senior,TZ,Tanzania,0.6,2026-05-01 14:22:53.348262+00:00
019de3eb-c7a5-71cc-b664-eac150893ddc,Mercy Agyei,female,0.79,9,child,NG,Nigeria,0.11,2026-05-01 14:22:53.348280+00:00
019de3eb-c7a6-7d4c-99e7-d5f2011e398e,Hassan Girma,male,0.85,37,adult,UG,Uganda,0.38,2026-05-01 14:22:53.348292+00:00
019de3eb-c7a7-7f4d-a5d1-2d5c26d644ae,Nabil Saidi,male,0.8,80,senior,SD,Sudan,0.49,2026-05-01 14:22:53.348300+00:00
019de3eb-c7a8-73b4-b1e2-ec42503e50dc,Kimberly Scott,female,0.9,5,child,US,United States,0.34,2026-05-01 14:22:53.348306+00:00
019de3eb-c7a9-7f76-9038-b154f5a42404,Nandi Girma,female,0.8,57,adult,MG,Madagascar,0.4,2026-05-01 14:22:53.348311+00:00
019de3eb-c7aa-7a65-b153-c5564b12634d,John Adams,male,0.98,37,adult,GB,United Kingdom,0.52,2026-05-01 14:22:53.348317+00:00
019de3eb-c7ab-79ac-a20d-98aee59476ea,Elizabeth Harris,female,0.77,32,adult,IN,India,0.11,2026-05-01 14:22:53.348322+00:00
019de3eb-c7ac-727a-bf12-70e025ee788e,Anne Kasavubu,female,0.88,43,adult,CM,Cameroon,0.29,2026-05-01 14:22:53.348329+00:00
019de3eb-c7ad-74ab-94a9-4b9ab464f5a7,Yaa Adomou,female,0.78,50,adult,CV,Cape Verde,0.28,2026-05-01 14:22:53.348334+00:00
