id,name,gender,gender_probability,age,age_group,country_id,country_name,country_probability,created_at
019ddd37-a4a5-7bdb-91e4-42fab3ab2294,Awino Hassan,female,0.66,68,senior,TZ,Tanzania,0.6,2026-04-30 07:08:24.613068+00:00
019ddd37-a4a6-79f2-baae-5000792b48c3,Mercy Agyei,female,0.79,9,child,NG,Nigeria,0.11,2026-04-30 07:08:24.613082+00:00
019ddd37-a4a7-79f9-a5ac-a1465d9aeb06,Hassan Girma,male,0.85,37,adult,UG,Uganda,0.38,2026-04-30 07:08:24.613090+00:00
019ddd37-a4a8-723a-9ca1-0ab1b8cdceac,Nabil Saidi,male,0.8,80,senior,SD,Sudan,0.49,2026-04-30 07:08:24.613096+00:00
019ddd37-a4a9-71cd-8a05-89f4f5e74c78,Kimberly Scott,female,0.9,5,child,US,United States,0.34,2026-04-30 07:08:24.613102+00:00
019ddd37-a4aa-7b1d-bbe3-6410ddcef2dc,Nandi Girma,female,0.8,57,adult,MG,Madagascar,0.4,2026-04-30 07:08:24.613107+00:00
019ddd37-a4ab-7e5d-923a-4b9420099430,John Adams,male,0.98,37,adult,GB,United Kingdom,0.52,2026-04-30 07:08:24.613112+00:00
019ddd37-a4ac-7646-8bca-58e67c58b15b,Elizabeth Harris,female,0.77,32,adult,IN,India,0.11,2026-04-30 07:08:24.613118+00:00
019ddd37-a4ad-7eea-8de7-f303c06a2184,Anne Kasavubu,female,0.88,43,adult,CM,Cameroon,0.29,2026-04-30 07:08:24.613123+00:00
019ddd37-a4ae-7f5e-8601-701bfd83234c,Yaa Adomou,female,0.78,50,adult,CV,Cape Verde,0.28,2026-04-30 07:08:24.613128+00:00
